School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Seneca,25.8,15.5,41.3,1,1,1
Lift for Life Academy Charter,15.49,10.8,26.29,2,3,2
Valle Catholic,10.43,12.79,23.23,7,2,3
Cassville,11.94,10.27,22.2,5,5,4
Mountain Grove,12.86,9.34,22.2,4,7,5
Maryville,10.66,10.67,21.33,6,4,6
St. Michael the Archangel,15.2,4.14,19.33,3,14,7
Mt. Vernon,4.74,9.34,14.08,10,8,8
Dexter,3.54,10.1,13.64,13,6,9
Ste. Genevieve,5.9,5.8,11.7,9,11,10
Osage,3.88,6.29,10.17,11,9,11
Boonville,5.99,2.98,8.96,8,17,12
Clinton,-0.3,6.23,5.93,20,10,13
St. Francis Borgia,0.3,4.48,4.78,17,13,14
Moberly,2.42,2.34,4.76,14,19,15
St. Clair,3.68,-2.28,1.4,12,24,16
Richmond,0.35,-0.33,0.01,16,21,17
Knob Noster,-0.22,-0.62,-0.84,19,22,18
Potosi,2.27,-3.79,-1.52,15,25,19
Chillicothe,-7.6,4.63,-2.97,28,12,20
Clever,-7.12,3.94,-3.18,27,15,21
East Newton,-5.43,1.28,-4.15,26,20,22
Central (Park Hills),-4.02,-0.81,-4.83,23,23,23
Southern Boone,-10.54,3.45,-7.09,34,16,24
Oak Grove,-10.9,2.69,-8.22,35,18,25
Aurora,-1.56,-6.99,-8.55,21,30,26
St. Charles West,-0.22,-13.73,-13.94,18,42,27
St. James,-10.02,-4.06,-14.08,32,28,28
Kennett,-4.68,-10.09,-14.77,25,36,29
Hollister,-3.61,-11.24,-14.85,22,38,30
Pembroke Hill,-9.91,-6.03,-15.94,31,29,31
Herculaneum,-8.72,-7.66,-16.38,29,32,32
Hallsville,-4.24,-12.77,-17.0,24,41,33
Wright City,-10.25,-8.91,-19.16,33,34,34
John Burroughs,-15.53,-3.85,-19.38,39,27,35
Lafayette (St. Joseph),-17.35,-3.83,-21.18,42,26,36
Reeds Spring,-12.66,-12.47,-25.13,36,40,37
Buffalo,-16.07,-10.3,-26.37,41,37,38
Strafford,-17.76,-9.16,-26.92,43,35,39
Center,-9.85,-17.41,-27.26,30,46,40
Salem,-20.54,-8.62,-29.16,45,33,41
Eldon,-13.97,-15.28,-29.25,37,44,42
Fredericktown,-15.73,-14.38,-30.11,40,43,43
Winfield,-22.78,-7.57,-30.35,47,31,44
California,-19.56,-12.38,-31.93,44,39,45
Fulton,-15.2,-17.22,-32.42,38,45,46
Owensville,-24.35,-22.45,-46.79,48,48,47
Lutheran South,-20.99,-28.29,-49.28,46,51,48
Central (Kansas City),-29.82,-20.6,-50.41,50,47,49
Doniphan,-28.98,-24.08,-53.06,49,49,50
Normandy Collaborative,-36.12,-24.48,-60.6,51,50,51
