Date,Home Team,Home Score,Away Team,Away Score
2025-08-28,Principia with Whitfield,44,Clayton with Brentwood,21
2025-08-28,Francis Howell,22,Eureka,34
2025-08-28,Liberty (Wentzville),49,Francis Howell Central,21
2025-08-28,North Point,29,Francis Howell North,0
2025-08-28,Kirkwood,10,Ft. Zumwalt West,3
2025-08-28,Hazelwood West,0,Hazelwood East,45
2025-08-28,Troy Buchanan,43,Ladue Horton Watkins,0
2025-08-28,Parkway North,0,Lafayette (Wildwood),45
2025-08-28,Plattsburg,6,Mid-Buchanan,54
2025-08-28,Marshfield,7,Parkview,6
2025-08-28,Ft. Zumwalt North,34,Pattonville,26
2025-08-29,Sherwood,20,Adrian,43
2025-08-29,Lutheran South,29,Affton,30
2025-08-29,Diamond,0,Ash Grove,34
2025-08-29,Mt. Vernon,29,Aurora,32
2025-08-29,Buffalo,34,Ava,45
2025-08-29,Excelsior Springs,22,Belton,41
2025-08-29,Liberty North,28,Blue Springs South,49
2025-08-29,Osage,28,Bolivar,20
2025-08-29,Clark County,18,Bowling Green,42
2025-08-29,Trenton,20,Brookfield,44
2025-08-29,North Platte,40,Butler,32
2025-08-29,El Dorado Springs,40,Cabool,0
2025-08-29,Tipton,50,California,0
2025-08-29,Jefferson City,17,Camdenton,7
2025-08-29,Capital City,21,Carl Junction,35
2025-08-29,Waynesville,8,Carthage,50
2025-08-29,Seneca,33,Cassville,27
2025-08-29,Lafayette (St. Joseph),15,Center,24
2025-08-29,Central (Cape Girardeau),21,Central (New Madrid County),6
2025-08-29,Owensville,0,Central (Park Hills),37
2025-08-29,Mexico,14,Centralia,26
2025-08-29,Kelly,14,Charleston,22
2025-08-29,Pleasant Hope with Halfway,0,Clinton,69
2025-08-29,Russellville,26,Cole Camp,27
2025-08-29,Roosevelt,20,Confluence Prep Academy Charter with Grand Center Arts Charter,12
2025-08-29,Holden,28,Crest Ridge with Chilhowee,2
2025-08-29,Sikeston,70,Crystal City,6
2025-08-29,Linn,30,Cuba,32
2025-08-29,Malden,0,Dexter,61
2025-08-29,Central (Kansas City),6,East Buchanan,50
2025-08-29,Springfield Catholic,31,East Newton,27
2025-08-29,Mountain Grove,28,Fair Grove,29
2025-08-29,North County,16,Farmington,49
2025-08-29,Carrollton,36,Fayette,12
2025-08-29,Father Tolton,30,Forsyth,7
2025-08-29,Mehlville,7,Fox,27
2025-08-29,Perryville,35,Fredericktown,21
2025-08-29,Winfield,6,Ft. Zumwalt South,21
2025-08-29,Eldon,15,Fulton,14
2025-08-29,Maysville with Winston,7,Gallatin with Tri-County,43
2025-08-29,Raytown,7,Grain Valley,34
2025-08-29,Park Hill South,51,Grandview,6
2025-08-29,Richmond,22,Harrisonville,49
2025-08-29,Miller Career Academy with Vashon,12,Hazelwood Central,26
2025-08-29,Hannibal,20,Helias Catholic,23
2025-08-29,Montgomery County,26,Hermann,18
2025-08-29,Marquette,14,Hickman,48
2025-08-29,Van Horn,38,Hillcrest,6
2025-08-29,Timberland,29,Holt,13
2025-08-29,Pierce City,20,Houston,42
2025-08-29,Cardinal Ritter,20,Jackson,23
2025-08-29,Priory,7,Jefferson (Festus),52
2025-08-29,Kickapoo,7,Joplin,31
2025-08-29,Fort Osage,8,Kearney,36
2025-08-29,Portageville,12,Kennett,37
2025-08-29,Macon,16,Kirksville,7
2025-08-29,Penney,28,Lafayette County,27
2025-08-29,McDonald County,39,Lamar,35
2025-08-29,Raymore-Peculiar,13,Lee's Summit North,24
2025-08-29,Lathrop,44,Lexington,0
2025-08-29,Lee's Summit,13,Liberty,21
2025-08-29,Oakville,34,Lindbergh,14
